DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
28-12-2018,11009,11287.85,10960,11235.6,13721,726
27-12-2018,10850,10971,10833.1,10936.3,4675,812
26-12-2018,10950,10975.5,10750.15,10764.3,3768,497
24-12-2018,11119.05,11219.3,10849,10931.25,864,276
21-12-2018,11288,11312.3,10956.05,11011.7,1592,484
20-12-2018,11099,11408.8,11099,11206.6,2296,591
19-12-2018,11155,11700.05,11130.45,11181.9,1663,433
18-12-2018,11186.85,11279,11026.35,11093.4,1566,477
17-12-2018,11066,11290,11066,11181.95,8469,850
14-12-2018,10999,11162.9,10915.95,10972.55,2174,532
13-12-2018,10903,11191,10899,10990.5,4091,934
12/12/2018,10603,10875.5,10602.65,10826.15,2552,804
11/12/2018,10380,10798.35,10339.2,10633.3,3496,931
10/12/2018,10399,10428.7,10279.05,10380.05,3705,598
7/12/2018,10433,10530,10374.3,10402.75,6351,1131
6/12/2018,10440,10440,10245.95,10304.3,2244,389
5/12/2018,10559.25,10562.95,10446.3,10484.55,1295,331
4/12/2018,10755.8,10760,10560.4,10589.65,1112,289
3/12/2018,10809.1,10821.7,10648.85,10746.65,1970,489
30-11-2018,10660,10800,10595.2,10718.95,4339,596
29-11-2018,10758,10758,10400,10603.55,39727,1756
28-11-2018,10525,10745.75,10525,10702.05,51322,1459
27-11-2018,10450,10600,10284.55,10518.75,2908,615
26-11-2018,10358.2,10538,10300.9,10449.85,34056,746
22-11-2018,10270,10448.6,10238.35,10313,2322,646
21-11-2018,10266.25,10341.45,10195.25,10257.4,1076,311
20-11-2018,10498.9,10500.05,10170,10249,4656,1080
19-11-2018,10671,10777,10164.85,10359.6,3561,1058
16-11-2018,10500,10694.9,10395,10655.05,4971,1288
15-11-2018,10418.3,10486.1,10334,10447.8,4594,794
14-11-2018,10227.85,10448,10158.95,10385.95,7380,901
13-11-2018,10140.3,10235.65,10096.4,10165.45,2397,518
12/11/2018,10299,10339.7,10069.1,10116.5,27192,1090
9/11/2018,10274.05,10371.4,10160,10224.05,1425,387
7/11/2018,10168,10256,10100.05,10235.95,522,168
6/11/2018,10350,10407.35,10090.25,10168.85,11866,675
5/11/2018,10234.5,10395,10230,10321.4,3045,625
2/11/2018,10041.75,10329,9993.65,10230.1,20821,1323
1/11/2018,10329,10329,9902,9956.05,3647,964
31-10-2018,9740,10145,9733.4,10122.1,9033,2257
30-10-2018,9740,9761.65,9628.6,9712.55,10086,381
29-10-2018,9800,9863,9610,9697.45,11055,1998
26-10-2018,9560.75,9700,9462.45,9540.45,2825,821
25-10-2018,9490,9580,9427.75,9517.3,2786,626
24-10-2018,9350,9600,9350,9520.7,31951,1024
23-10-2018,9205,9544.6,9205,9342.35,6812,1426
22-10-2018,9730,9849,9600.75,9646.5,2110,407
