DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
5/3/2019,527,529.73,522.8,526.6,23034,1079
1/3/2019,527.78,530.75,523.23,526.4,37235,1790
28-02-2019,536,536,524,526.6,31048,1420
27-02-2019,529.45,531.25,519.3,530.15,48363,1910
26-02-2019,541.5,548.05,527.43,529.4,61186,1934
25-02-2019,535,543.5,531.7,541.65,31543,1310
22-02-2019,526.75,535,520.95,531.58,34029,2589
21-02-2019,528,530.5,521.45,526.75,31548,3538
20-02-2019,515,530.23,513.03,527.93,18179,1052
19-02-2019,522.5,525.63,518,519.65,16757,757
18-02-2019,532,532,516.78,523.63,32104,1152
15-02-2019,530,533.05,520.8,528.93,29326,1684
14-02-2019,533.98,534.88,528.85,530.65,31675,1295
13-02-2019,525.58,536.48,523.5,533.83,51536,1814
12/2/2019,539,539,526.43,529.68,16415,681
11/2/2019,535.03,540.53,531.5,538.03,42219,1257
8/2/2019,532.8,537.8,530.03,532.95,36843,1098
7/2/2019,527.5,538.73,526.75,530.53,72468,1963
6/2/2019,524.5,532.5,524.5,526.9,54544,1293
5/2/2019,523.95,527.58,520.08,522.7,42941,1244
4/2/2019,521.98,529,515.63,519.68,94474,2199
1/2/2019,502.5,525.18,502.5,522,123688,5847
31-01-2019,510,512.5,494.65,502.6,93089,3276
30-01-2019,507.5,517.38,501.28,508.55,183831,5622
29-01-2019,488.05,497.5,481,494.05,70210,2687
28-01-2019,487.4,489.5,481.95,487.98,42458,1141
25-01-2019,477.8,489.75,473.95,485.63,61597,2017
24-01-2019,474.5,476.78,470,473.6,26903,747
23-01-2019,472.88,474.6,469.4,472.45,32282,1248
22-01-2019,481.3,481.7,469,470.8,45774,1517
21-01-2019,482.5,490,480,481.3,50466,1548
18-01-2019,476.5,484,473.18,482.25,63549,2117
17-01-2019,469.13,478.65,466.5,477.4,66099,3945
16-01-2019,469.58,477.48,467.8,469.08,47085,3236
15-01-2019,466.75,477.5,464.7,473.53,70497,2081
14-01-2019,471,471.45,464.15,468.78,36324,1531
11/1/2019,469,470.83,460.08,470.25,65568,1805
10/1/2019,470.33,470.33,466.15,467.93,24923,1499
9/1/2019,475,475,467,470.05,48009,1721
8/1/2019,470.5,473.93,466.7,472.55,40278,1479
7/1/2019,470,474.9,468.03,469.85,34638,1173
4/1/2019,475,475.2,462.5,466.65,79890,2412
3/1/2019,474.1,479.98,472.65,473.98,43835,1908
2/1/2019,475.5,480.95,470.78,472.93,74043,2177
1/1/2019,482.5,482.5,478.5,481,14040,473
31-12-2018,480.63,482.63,477.75,481.28,18961,895
28-12-2018,474,480,474,478.28,35275,889
27-12-2018,474.8,479.6,472,473.95,39546,1467
26-12-2018,470.5,473.73,465.73,471.28,43159,1414
24-12-2018,477.5,477.5,468.05,469.25,54009,1933
21-12-2018,480,497.45,473.45,478.88,190937,3364
20-12-2018,477.4,482.75,473.5,480.53,46308,1386
